member_id,arm,K,scheme,psi_release_weighted,psi_mean,n_groups_psi_ge_0p3,release_share_psi_ge_0p3
94,include,0.15,1. exclude-arm fitted rates (as published),0.5799410412253615,0.5987817551168751,77,0.8420117645107862
94,include,0.15,2. include-arm fitted rates,0.5772509100112216,0.5954968278552685,75,0.8334109058897963
95,include,0.05,3. tag-seeding prior means (external anchor),0.7859567265388392,0.7180618334053582,84,0.9135021393826763
95,include,0.05,1. exclude-arm fitted rates (as published),0.7735410153422018,0.7065848853518906,84,0.9135021393826763
95,include,0.05,2. include-arm fitted rates,0.7709085699076681,0.7029560201781989,83,0.910644680158611
98,exclude,0.3,3. tag-seeding prior means (external anchor),0.22587092801057246,0.2687730323177176,35,0.24786892574010297
98,exclude,0.3,1. exclude-arm fitted rates (as published),0.22412734671454823,0.2649842809181649,35,0.24786892574010297
98,exclude,0.3,2. include-arm fitted rates,0.22227618452525355,0.26297932560991627,33,0.24130266988303276
99,exclude,0.2,3. tag-seeding prior means (external anchor),0.4137429654410914,0.4653376083282233,62,0.5864114845169333
99,exclude,0.2,1. exclude-arm fitted rates (as published),0.40905539270163294,0.4592855642657686,63,0.588518162305262
99,exclude,0.2,2. include-arm fitted rates,0.4071252747020252,0.456762893965819,62,0.5856607030811968
