include_member,exclude_member,distance,K_include,K_exclude,tau_include,tau_exclude,M0_include,M0_exclude,creep_include,creep_exclude,h_include,h_exclude,f_recent_fmsy_include,f_recent_fmsy_exclude,f_recent_fmsy_diff,sb_recent_sb0_include,sb_recent_sb0_exclude,sb_recent_sb0_diff,sb_recent_sbmsy_include,sb_recent_sbmsy_exclude,sb_recent_sbmsy_diff,sb_recent_kt_include,sb_recent_kt_exclude,sb_recent_kt_diff
32,12,1.237912590777574,0.1,0.05,1.4,1.4,0.0824405378469274,0.0691962778307432,0.015,0.02,0.955582324101094,0.950068051981146,0.914913083257091,0.628930817610063,-0.285982265647028,0.232953243162794,0.41846569014018,0.18551244697738598,1.41264387510879,2.2096047846212,0.7969609095124102,324.6255625,1169.5438125,844.9182500000001
34,84,1.6106480512050756,0.35,0.3,1.3,1.2,0.07878322006368,0.0819613371903662,0.02,0.015,0.902357695484583,0.92264985972879,1.19217930376729,1.00492412822832,-0.1872551755389702,0.17481992711578,0.20727383006254,0.03245390294675998,1.01185190422323,1.26077229995627,0.24892039573304015,268.343125,288.338625,19.995499999999993
35,73,0.6001239545013066,0.2,0.2,1.3,1.3,0.0801107614463212,0.0766631944049427,0.01,0.01,0.940898885193137,0.905387172440846,1.05730598435187,1.09601052170101,0.038704537349140145,0.201562606183221,0.18738853479753,-0.01417407138569099,1.20943919474117,1.0930825286123,-0.11635666612886997,294.3775,305.625875,11.24837500000001
40,54,1.2769367631034705,0.15,0.15,1.3,1.3,0.062165477323398,0.0758418522718568,0.025,0.02,0.924313504785243,0.881015343303337,0.850340136054422,0.712758374910905,-0.13758176114351706,0.318597770714139,0.345191424384506,0.026593653670367035,1.69287549175721,1.8329261288619,0.14005063710469012,903.6569375,694.129125,-209.52781249999998
42,23,1.42420999835709,0.15,0.05,1.2,1.2,0.0600688525879382,0.0635450800856273,0.025,0.025,0.668842859607944,0.706251086046443,0.969932104752667,0.667556742323097,-0.30237536242956997,0.289804322395314,0.439595801912618,0.14979147951730398,1.21174122318603,1.72165603532875,0.5099148121427199,1033.7364375,1754.3675,720.6310625000001
43,38,0.8377361475835091,0.2,0.25,1.4,1.4,0.0672550092674224,0.0750330554653177,0.025,0.025,0.869753079504006,0.852065874766007,1.12511251125113,1.25391849529781,0.12880598404667998,0.198304069464788,0.154849811311041,-0.04345425815374701,1.08134135694687,0.866332576706324,-0.21500878024054593,433.50975,276.706625,-156.80312500000002
44,11,1.0926245525633098,0.1,0.1,1.4,1.4,0.0901544630105169,0.0718897340504598,0.01,0.01,0.882576408745769,0.888738301598888,0.857632933104631,0.778210116731518,-0.07942281637311299,0.263116506228045,0.309810114091465,0.04669360786342003,1.5320563655761,1.66423010328068,0.13217373770458019,323.1106875,684.8306875,361.71999999999997
45,19,0.9775584532193524,0.1,0.1,1.3,1.3,0.0626384444701712,0.0668607539465371,0.005,0.005,0.815170286195679,0.874661383118216,0.915750915750916,0.620732464307883,-0.29501845144303307,0.292210248821206,0.43870144965977,0.14649120083856398,1.47146378138075,2.16255403014921,0.6910902487684598,844.031625,1405.876375,561.8447500000001
49,9,1.33875929620027,0.3,0.2,1.3,1.3,0.0839239521820033,0.0895217029940766,0.01,0.01,0.893297570756611,0.879444249940166,1.03082156478714,0.832639467110741,-0.19818209767639894,0.196579476600778,0.255884419395132,0.059304942794354,1.19687471859523,1.48269611111111,0.2858213925158801,265.825875,333.606625,67.78075000000001
52,50,0.6729125845227386,0.25,0.2,1.2,1.2,0.0762508468931672,0.0796630006277552,0.02,0.02,0.855809211216181,0.859436361940827,1.28832775057975,0.819000819000819,-0.4693269315789309,0.154026430207072,0.278645314373472,0.12461888416640002,0.863137124151309,1.50502175446849,0.641884630317181,266.9683125,479.9514375,212.98312499999997
62,99,0.9804024464480546,0.25,0.2,1.3,1.3,0.0730548862523724,0.0734463406081054,0.015,0.01,0.818033921729831,0.833276325452964,1.29065565307176,0.893655049151028,-0.3970006039207319,0.146944736200467,0.263426720816289,0.11648198461582199,0.815313122687162,1.3918153526971,0.5765022300099379,286.4195,536.684,250.26449999999994
63,76,1.0496112265644055,0.15,0.2,1.3,1.3,0.0854855388171595,0.0928693785870361,0.005,0.01,0.830928058969153,0.826021245685335,0.928505106778087,0.839630562552477,-0.08887454422560992,0.223262515654317,0.253019709493231,0.02975719383891398,1.28476148953632,1.43640381083563,0.1516423212993101,313.096375,312.84875,-0.24762500000002774
65,72,1.0597050499959053,0.2,0.2,1.4,1.4,0.0865770339818928,0.0738396782289059,0.02,0.015,0.933075845818822,0.947592253615846,0.940733772342427,0.847457627118644,-0.09327614522378302,0.220258941267036,0.278041223240116,0.057782281973079996,1.37646961152882,1.59207514255702,0.21560553102820013,274.6056875,530.4794375,255.87375000000003
74,56,1.091515598081095,0.2,0.2,1.3,1.3,0.110065019046874,0.101683863103972,0.005,0.005,0.94525416877919,0.884128353828229,0.497512437810945,0.644329896907216,0.14681745909627097,0.369686105602468,0.317013359817153,-0.052672745785315,2.8819338365897,2.02372518610422,-0.85820865048548,324.50575,326.2245,1.71875
78,75,1.1027294102496144,0.15,0.15,1.2,1.2,0.0754359930054103,0.0810234998761951,0.015,0.01,0.8441631832874,0.794924316001641,0.858369098712446,0.755857898715042,-0.10251119999740399,0.275749496303517,0.321851845991618,0.04610234968810095,1.47421086743274,1.61308165322581,0.13887078579307,525.9984375,600.066375,74.06793749999997
89,85,1.3712357328217744,0.3,0.3,1.3,1.3,0.0908042689184139,0.112000040308056,0.025,0.025,0.911509558640356,0.877862199777685,0.877963125548727,0.588928150765607,-0.28903497478312,0.236830100457283,0.346456501846106,0.10962640138882299,1.46959895554365,2.13995966372283,0.6703607081791803,274.374125,315.0020625,40.62793750000003
95,87,1.2910843634751326,0.05,0.05,1.2,1.2,0.0652481899820389,0.083421424528535,0.02,0.015,0.896320385354245,0.897829395889862,0.803212851405622,0.650618087182824,-0.15259476422279805,0.339304340032898,0.365330123518591,0.02602578348569301,1.74505403657861,2.00561705179901,0.26056301522039993,944.59775,646.6109375,-297.98681250000004
