member_id,group_id,arm,X,base_rate,design_arm,objective,rr_penalty,tag_mix,tag_post,agg_F,agg_F_final,agg_F_Fmsy,agg_F_Fmsy_final,SB_SBmsy,SB_SBmsy_final,SB_recent,SB_recent_final,MSY,F_at_MSY,SB_msy,seconds,ok
2,17,exclude,0.5777777777777777,0.762999992752251,exclude,90948.9474868241,46.4928674272,1766.7042514644788,5601.094004625261,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.671069145202637,1
2,17,exclude,0.6333333333333333,0.762999992752251,exclude,90883.5775594486,54.1686837235,1730.9007604786034,5563.851751914332,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,13.027039766311646,1
2,17,exclude,0.6888888888888889,0.762999992752251,exclude,90843.8322256308,66.4074629828,1702.3632989600574,5540.405100327469,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,12.162461280822754,1
2,17,exclude,0.7444444444444445,0.762999992752251,exclude,90826.7213960905,83.209205205,1680.0694015272645,5528.786425964554,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.824235677719116,1
2,17,exclude,0.8,0.762999992752251,exclude,90829.8546060878,104.57391039,1663.1996722751073,5527.424659988206,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,12.00909161567688,1
2,17,exclude,0.8462500000000001,0.762999992752251,exclude,90846.4951029981,125.84055579,1652.8089366625331,5533.189247067847,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,12.636409282684326,1
2,17,exclude,0.8925000000000001,0.762999992752251,exclude,90874.8777981828,150.26959119,1645.3910847755521,5544.56075868068,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,12.017236948013306,1
2,17,exclude,0.93875,0.762999992752251,exclude,90914.1991672044,177.86101659,1640.6693526755366,5561.01243430646,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.924177169799805,1
2,17,exclude,0.985,0.762999992752251,exclude,90963.7641936874,208.61483199,1638.4040923806954,5582.088905344502,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,12.277532815933228,1
2,17,include,0.3,0.762999992752251,exclude,91999.3592781689,76.5582303902,1624.4674546294525,6754.038215222018,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.959105730056763,1
2,17,include,0.3555555555555555,0.762999992752251,exclude,91648.8791375022,61.4192318717,1567.91555930734,6484.64451559465,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,12.023913860321045,1
2,17,include,0.4111111111111111,0.762999992752251,exclude,91371.1958902366,50.8431963161,1524.0322167890765,6263.3534243731965,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.962372779846191,1
2,17,include,0.4666666666666667,0.762999992752251,exclude,91148.7673196297,44.8301237235,1501.120377459166,6070.120934583424,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.979894876480103,1
2,17,include,0.5222222222222221,0.762999992752251,exclude,90984.4995341293,43.3800140939,1488.958828539249,5919.500144004506,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.7062509059906,1
2,17,include,0.5777777777777777,0.762999992752251,exclude,90868.8834905859,46.4928674272,1482.2099215137102,5807.485569629492,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.815158367156982,1
2,17,include,0.6333333333333333,0.762999992752251,exclude,90789.667611601,54.1686837235,1478.6275717510016,5724.113866609617,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.918019771575928,1
