screen,member_id,arm,unit,is_priored,value,threshold,slack,flagged,note
upper-bound,12,exclude,group 13,0,0.820048,0.99,0.169952,0,
upper-bound,12,exclude,group 14,1,0.501461,0.99,0.488539,0,
upper-bound,12,exclude,group 17,1,0.857308,0.99,0.132692,0,
upper-bound,12,exclude,group 18,1,0.937618,0.99,0.0523822,0,
upper-bound,12,exclude,group 19,0,0.99,0.99,3.93614e-09,1,at upper bound
upper-bound,12,exclude,group 20,0,0.367741,0.99,0.622259,0,
upper-bound,12,exclude,group 23,0,0.99,0.99,1.435e-09,1,at upper bound
upper-bound,12,exclude,group 29,0,0.396957,0.99,0.593043,0,
upper-bound,14,include,group 1,0,0.207964,0.99,0.782036,0,
upper-bound,14,include,group 6,0,0.289145,0.99,0.700855,0,
upper-bound,14,include,group 7,1,0.496215,0.99,0.493785,0,
upper-bound,14,include,group 10,1,0.550408,0.99,0.439592,0,
upper-bound,14,include,group 13,0,0.462142,0.99,0.527858,0,
upper-bound,14,include,group 14,1,0.495708,0.99,0.494292,0,
upper-bound,14,include,group 17,1,0.714137,0.99,0.275863,0,
upper-bound,14,include,group 18,1,0.729939,0.99,0.260061,0,
upper-bound,14,include,group 19,0,0.989999,0.99,5.42771e-07,1,at upper bound
upper-bound,14,include,group 20,0,0.230335,0.99,0.759665,0,
upper-bound,14,include,group 23,0,0.99,0.99,1.5969e-09,1,at upper bound
upper-bound,14,include,group 29,0,0.126823,0.99,0.863177,0,
upper-bound,15,exclude,group 1,0,0.214992,0.99,0.775008,0,
upper-bound,15,exclude,group 6,0,0.52059,0.99,0.46941,0,
upper-bound,15,exclude,group 7,1,0.656824,0.99,0.333176,0,
upper-bound,15,exclude,group 10,1,0.530951,0.99,0.459049,0,
upper-bound,15,exclude,group 13,0,0.452486,0.99,0.537514,0,
upper-bound,15,exclude,group 14,1,0.503785,0.99,0.486215,0,
upper-bound,15,exclude,group 17,1,0.67331,0.99,0.31669,0,
upper-bound,15,exclude,group 18,1,0.717226,0.99,0.272774,0,
upper-bound,15,exclude,group 19,0,0.484447,0.99,0.505553,0,
upper-bound,15,exclude,group 20,0,0.104089,0.99,0.885911,0,
upper-bound,15,exclude,group 23,0,0.99,0.99,1.46738e-09,1,at upper bound
upper-bound,15,exclude,group 29,0,0.110184,0.99,0.879816,0,
upper-bound,18,exclude,group 1,0,0.23412,0.99,0.75588,0,
upper-bound,18,exclude,group 6,0,0.622882,0.99,0.367118,0,
upper-bound,18,exclude,group 7,1,0.656448,0.99,0.333552,0,
upper-bound,18,exclude,group 10,1,0.570964,0.99,0.419036,0,
upper-bound,18,exclude,group 13,0,0.501087,0.99,0.488913,0,
upper-bound,18,exclude,group 14,1,0.500192,0.99,0.489808,0,
upper-bound,18,exclude,group 17,1,0.742632,0.99,0.247368,0,
upper-bound,18,exclude,group 18,1,0.866911,0.99,0.123089,0,
upper-bound,18,exclude,group 19,0,0.575904,0.99,0.414096,0,
upper-bound,18,exclude,group 20,0,0.136875,0.99,0.853125,0,
upper-bound,18,exclude,group 23,0,0.99,0.99,1.60891e-09,1,at upper bound
upper-bound,18,exclude,group 29,0,0.172377,0.99,0.817623,0,
upper-bound,19,exclude,group 1,0,0.309599,0.99,0.680401,0,
upper-bound,19,exclude,group 6,0,0.907796,0.99,0.082204,0,
upper-bound,19,exclude,group 7,1,0.667207,0.99,0.322793,0,
upper-bound,19,exclude,group 10,1,0.613953,0.99,0.376047,0,
upper-bound,19,exclude,group 13,0,0.728767,0.99,0.261233,0,
upper-bound,19,exclude,group 14,1,0.501263,0.99,0.488737,0,
upper-bound,19,exclude,group 17,1,0.847601,0.99,0.142399,0,
upper-bound,19,exclude,group 18,1,0.94399,0.99,0.0460102,0,
upper-bound,19,exclude,group 19,0,0.99,0.99,4.73984e-09,1,at upper bound
upper-bound,19,exclude,group 20,0,0.374844,0.99,0.615156,0,
upper-bound,19,exclude,group 23,0,0.99,0.99,1.5655e-09,1,at upper bound
upper-bound,19,exclude,group 29,0,0.439589,0.99,0.550411,0,
upper-bound,21,exclude,group 1,0,0.33877,0.99,0.65123,0,
upper-bound,21,exclude,group 6,0,0.855821,0.99,0.134179,0,
upper-bound,21,exclude,group 7,1,0.658322,0.99,0.331678,0,
upper-bound,21,exclude,group 10,1,0.612244,0.99,0.377756,0,
upper-bound,21,exclude,group 13,0,0.73879,0.99,0.25121,0,
upper-bound,21,exclude,group 14,1,0.506732,0.99,0.483268,0,
upper-bound,21,exclude,group 17,1,0.824819,0.99,0.165181,0,
upper-bound,21,exclude,group 18,1,0.931105,0.99,0.0588952,0,
upper-bound,21,exclude,group 19,0,0.989988,0.99,1.22048e-05,1,at upper bound
upper-bound,21,exclude,group 20,0,0.237494,0.99,0.752506,0,
upper-bound,21,exclude,group 23,0,0.99,0.99,1.58893e-09,1,at upper bound
upper-bound,21,exclude,group 29,0,0.3204,0.99,0.6696,0,
upper-bound,22,include,group 1,0,0.280853,0.99,0.709147,0,
upper-bound,22,include,group 6,0,0.441843,0.99,0.548157,0,
upper-bound,22,include,group 7,1,0.525076,0.99,0.464924,0,
upper-bound,22,include,group 10,1,0.594324,0.99,0.395676,0,
upper-bound,22,include,group 13,0,0.799471,0.99,0.190529,0,
upper-bound,22,include,group 14,1,0.501754,0.99,0.488246,0,
upper-bound,22,include,group 17,1,0.812045,0.99,0.177955,0,
upper-bound,22,include,group 18,1,0.883368,0.99,0.106632,0,
upper-bound,22,include,group 19,0,0.793378,0.99,0.196622,0,
upper-bound,22,include,group 20,0,0.204541,0.99,0.785459,0,
upper-bound,22,include,group 23,0,0.99,0.99,2.8763e-09,1,at upper bound
upper-bound,22,include,group 29,0,0.136803,0.99,0.853197,0,
upper-bound,23,exclude,group 1,0,0.318847,0.99,0.671153,0,
upper-bound,23,exclude,group 6,0,0.914317,0.99,0.0756831,0,
upper-bound,23,exclude,group 7,1,0.675724,0.99,0.314276,0,
upper-bound,23,exclude,group 10,1,0.618214,0.99,0.371786,0,
upper-bound,23,exclude,group 13,0,0.825613,0.99,0.164387,0,
upper-bound,23,exclude,group 14,1,0.499578,0.99,0.490422,0,
upper-bound,23,exclude,group 17,1,0.866371,0.99,0.123629,0,
upper-bound,23,exclude,group 18,1,0.945983,0.99,0.0440166,0,
upper-bound,23,exclude,group 19,0,0.99,0.99,4.98529e-09,1,at upper bound
upper-bound,23,exclude,group 20,0,0.484173,0.99,0.505827,0,
upper-bound,23,exclude,group 23,0,0.99,0.99,1.73603e-09,1,at upper bound
upper-bound,23,exclude,group 29,0,0.467013,0.99,0.522987,0,
upper-bound,24,exclude,group 1,0,0.351837,0.99,0.638163,0,
