member_id,arm,is_exclude,K,M0,h,tau,creep,penalty,mean_mixing,rel_wt_mean_mixing,n_zero_mixing,max_mixing,n_mix_0,n_mix_1,n_mix_2,n_mix_3,n_mix_4,log_penalty
46,include,0.0,0.2,0.116862143339407,0.850145674340893,1.4,0.015,161.841916258,1.9489795918367347,1.4718078912387256,2,4,2,21,64,2,9,5.0866200332367475
47,exclude,1.0,0.1,0.0715037092355716,0.809073624120682,1.4,0.025,136.11702106,3.5918367346938775,3.0689570955077046,0,4,0,7,6,7,78,4.913514964732639
49,include,0.0,0.3,0.0839239521820033,0.893297570756611,1.3,0.01,46.3684504402,1.153061224489796,0.8800398528096938,14,4,14,72,3,1,8,3.836619280553647
50,exclude,1.0,0.2,0.0796630006277552,0.859436361940827,1.2,0.02,101.536370072,1.9489795918367347,1.4718078912387256,2,4,2,21,64,2,9,4.620417060130985
51,exclude,1.0,0.2,0.0606330983467594,0.927719077431941,1.3,0.015,80.7959590116,1.9489795918367347,1.4718078912387256,2,4,2,21,64,2,9,4.391926952043723
52,include,0.0,0.25,0.0762508468931672,0.855809211216181,1.2,0.02,38.8409400963,1.4591836734693877,1.1466755165724087,6,4,6,59,23,2,8,3.6594748474633656
53,exclude,1.0,0.15,0.066062719171951,0.894810070821111,1.4,0.02,113.241329507,3.13265306122449,2.32684621634885,1,4,1,13,11,20,53,4.729521200787636
54,exclude,1.0,0.15,0.0758418522718568,0.881015343303337,1.3,0.02,119.636961245,3.13265306122449,2.32684621634885,1,4,1,13,11,20,53,4.784461834283382
55,exclude,1.0,0.15,0.0688107758960207,0.757229334067595,1.3,0.015,124.172347525,3.13265306122449,2.32684621634885,1,4,1,13,11,20,53,4.821670499984114
56,exclude,1.0,0.2,0.101683863103972,0.884128353828229,1.3,0.005,123.885124962,1.9489795918367347,1.4718078912387256,2,4,2,21,64,2,9,4.819354724623828
57,exclude,1.0,0.2,0.105366251201955,0.848190160242251,1.3,0.025,131.087279801,1.9489795918367347,1.4718078912387256,2,4,2,21,64,2,9,4.87586335937271
62,include,0.0,0.25,0.0730548862523724,0.818033921729831,1.3,0.015,35.3979776551,1.4591836734693877,1.1466755165724087,6,4,6,59,23,2,8,3.5666546901208345
63,include,0.0,0.15,0.0854855388171595,0.830928058969153,1.3,0.005,78.3451913491,3.13265306122449,2.32684621634885,1,4,1,13,11,20,53,4.361124592944097
65,include,0.0,0.2,0.0865770339818928,0.933075845818822,1.4,0.02,74.5535764966,1.9489795918367347,1.4718078912387256,2,4,2,21,64,2,9,4.3115180145281515
66,exclude,1.0,0.25,0.0921602325927703,0.903870708475044,1.2,0.02,101.392102972,1.4591836734693877,1.1466755165724087,6,4,6,59,23,2,8,4.618995208163729
68,exclude,1.0,0.25,0.0914723884936324,0.820790515436329,1.3,0.01,96.0170971544,1.4591836734693877,1.1466755165724087,6,4,6,59,23,2,8,4.564526270969074
69,exclude,1.0,0.35,0.0871397706986391,0.857636386724039,1.2,0.015,72.2651487728,1.1020408163265305,0.8403258854848114,18,4,18,68,4,0,8,4.280341976610372
70,exclude,1.0,0.3,0.0695810567143524,0.764479796300167,1.4,0.015,43.6556425636,1.153061224489796,0.8800398528096938,14,4,14,72,3,1,8,3.776332542283984
71,include,0.0,0.25,0.114223822029392,0.934945675833632,1.2,0.01,140.016794988,1.4591836734693877,1.1466755165724087,6,4,6,59,23,2,8,4.941762379614175
72,exclude,1.0,0.2,0.0738396782289059,0.947592253615846,1.4,0.015,83.4298025571,1.9489795918367347,1.4718078912387256,2,4,2,21,64,2,9,4.424005590341603
73,exclude,1.0,0.2,0.0766631944049427,0.905387172440846,1.3,0.01,73.5318901372,1.9489795918367347,1.4718078912387256,2,4,2,21,64,2,9,4.297719191538021
74,include,0.0,0.2,0.110065019046874,0.94525416877919,1.3,0.005,148.073518601,1.9489795918367347,1.4718078912387256,2,4,2,21,64,2,9,4.997708897730071
75,exclude,1.0,0.15,0.0810234998761951,0.794924316001641,1.2,0.01,127.833271535,3.13265306122449,2.32684621634885,1,4,1,13,11,20,53,4.85072684871014
76,exclude,1.0,0.2,0.0928693785870361,0.826021245685335,1.3,0.01,106.656510571,1.9489795918367347,1.4718078912387256,2,4,2,21,64,2,9,4.669613489195704
78,include,0.0,0.15,0.0754359930054103,0.8441631832874,1.2,0.015,67.3197765196,3.13265306122449,2.32684621634885,1,4,1,13,11,20,53,4.209454049643893
79,exclude,1.0,0.2,0.0545172924129923,0.958742756041707,1.4,0.025,74.52127707,1.9489795918367347,1.4718078912387256,2,4,2,21,64,2,9,4.311084682865129
80,include,0.0,0.35,0.0951435442378338,0.835561766233084,1.2,0.005,74.1865874875,1.1020408163265305,0.8403258854848114,18,4,18,68,4,0,8,4.306583372209994
