member_id,arm,K,group_id,n_in_window,n_recaptured,psi
51,exclude,0.2,29,18.0,18.0,1.0
52,include,0.25,7,320.0,322.0,0.9937888198757764
52,include,0.25,10,175.0,298.0,0.587248322147651
52,include,0.25,6,45.0,47.0,0.9574468085106383
52,include,0.25,1,132.0,414.0,0.3188405797101449
52,include,0.25,11,0.0,0.0,
52,include,0.25,2,0.0,0.0,
52,include,0.25,17,758.0,3467.0,0.21863282376694548
52,include,0.25,18,1010.0,3117.0,0.32402951555983317
52,include,0.25,14,4.0,6.0,0.6666666666666666
52,include,0.25,13,115.0,129.0,0.8914728682170543
52,include,0.25,16,0.0,0.0,
52,include,0.25,23,206.0,372.0,0.553763440860215
52,include,0.25,19,1.0,59.0,0.01694915254237288
52,include,0.25,20,0.0,10.0,0.0
52,include,0.25,29,18.0,18.0,1.0
53,exclude,0.15,7,320.0,322.0,0.9937888198757764
53,exclude,0.15,10,212.0,298.0,0.7114093959731543
53,exclude,0.15,6,46.0,47.0,0.9787234042553191
53,exclude,0.15,1,189.0,414.0,0.45652173913043476
53,exclude,0.15,11,0.0,0.0,
53,exclude,0.15,2,0.0,0.0,
53,exclude,0.15,17,1944.0,3467.0,0.5607153158350159
53,exclude,0.15,18,1693.0,3117.0,0.5431504651908887
53,exclude,0.15,14,5.0,6.0,0.8333333333333334
53,exclude,0.15,13,120.0,129.0,0.9302325581395349
53,exclude,0.15,16,0.0,0.0,
53,exclude,0.15,23,327.0,372.0,0.8790322580645161
53,exclude,0.15,19,16.0,59.0,0.2711864406779661
53,exclude,0.15,20,0.0,10.0,0.0
53,exclude,0.15,29,18.0,18.0,1.0
54,exclude,0.15,7,320.0,322.0,0.9937888198757764
54,exclude,0.15,10,212.0,298.0,0.7114093959731543
54,exclude,0.15,6,46.0,47.0,0.9787234042553191
54,exclude,0.15,1,189.0,414.0,0.45652173913043476
54,exclude,0.15,11,0.0,0.0,
54,exclude,0.15,2,0.0,0.0,
54,exclude,0.15,17,1944.0,3467.0,0.5607153158350159
54,exclude,0.15,18,1693.0,3117.0,0.5431504651908887
54,exclude,0.15,14,5.0,6.0,0.8333333333333334
54,exclude,0.15,13,120.0,129.0,0.9302325581395349
54,exclude,0.15,16,0.0,0.0,
54,exclude,0.15,23,327.0,372.0,0.8790322580645161
54,exclude,0.15,19,16.0,59.0,0.2711864406779661
54,exclude,0.15,20,0.0,10.0,0.0
54,exclude,0.15,29,18.0,18.0,1.0
55,exclude,0.15,7,320.0,322.0,0.9937888198757764
55,exclude,0.15,10,212.0,298.0,0.7114093959731543
55,exclude,0.15,6,46.0,47.0,0.9787234042553191
55,exclude,0.15,1,189.0,414.0,0.45652173913043476
55,exclude,0.15,11,0.0,0.0,
55,exclude,0.15,2,0.0,0.0,
55,exclude,0.15,17,1944.0,3467.0,0.5607153158350159
55,exclude,0.15,18,1693.0,3117.0,0.5431504651908887
55,exclude,0.15,14,5.0,6.0,0.8333333333333334
55,exclude,0.15,13,120.0,129.0,0.9302325581395349
55,exclude,0.15,16,0.0,0.0,
55,exclude,0.15,23,327.0,372.0,0.8790322580645161
55,exclude,0.15,19,16.0,59.0,0.2711864406779661
55,exclude,0.15,20,0.0,10.0,0.0
55,exclude,0.15,29,18.0,18.0,1.0
56,exclude,0.2,7,320.0,322.0,0.9937888198757764
56,exclude,0.2,10,175.0,298.0,0.587248322147651
56,exclude,0.2,6,45.0,47.0,0.9574468085106383
56,exclude,0.2,1,162.0,414.0,0.391304347826087
56,exclude,0.2,11,0.0,0.0,
56,exclude,0.2,2,0.0,0.0,
56,exclude,0.2,17,1210.0,3467.0,0.3490049033746755
56,exclude,0.2,18,1264.0,3117.0,0.4055181264035932
56,exclude,0.2,14,5.0,6.0,0.8333333333333334
56,exclude,0.2,13,116.0,129.0,0.8992248062015504
56,exclude,0.2,16,0.0,0.0,
56,exclude,0.2,23,285.0,372.0,0.7661290322580645
