member_id,arm,penalty,h,tau,K,M0,creep,has_par,log_penalty,is_exclude
62,include,35.3979776551,0.818033921729831,1.3,0.25,0.0730548862523724,0.015,True,3.5666546901208345,0.0
63,include,78.3451913491,0.830928058969153,1.3,0.15,0.0854855388171595,0.005,True,4.361124592944097,0.0
65,include,74.5535764966,0.933075845818822,1.4,0.2,0.0865770339818928,0.02,True,4.3115180145281515,0.0
66,exclude,101.392102972,0.903870708475044,1.2,0.25,0.0921602325927703,0.02,True,4.618995208163729,1.0
68,exclude,96.0170971544,0.820790515436329,1.3,0.25,0.0914723884936324,0.01,True,4.564526270969074,1.0
69,exclude,72.2651487728,0.857636386724039,1.2,0.35,0.0871397706986391,0.015,True,4.280341976610372,1.0
70,exclude,43.6556425636,0.764479796300167,1.4,0.3,0.0695810567143524,0.015,True,3.776332542283984,1.0
71,include,140.016794988,0.934945675833632,1.2,0.25,0.114223822029392,0.01,True,4.941762379614175,0.0
72,exclude,83.4298025571,0.947592253615846,1.4,0.2,0.0738396782289059,0.015,True,4.424005590341603,1.0
73,exclude,73.5318901372,0.905387172440846,1.3,0.2,0.0766631944049427,0.01,True,4.297719191538021,1.0
74,include,148.073518601,0.94525416877919,1.3,0.2,0.110065019046874,0.005,True,4.997708897730071,0.0
75,exclude,127.833271535,0.794924316001641,1.2,0.15,0.0810234998761951,0.01,True,4.85072684871014,1.0
76,exclude,106.656510571,0.826021245685335,1.3,0.2,0.0928693785870361,0.01,True,4.669613489195704,1.0
78,include,67.3197765196,0.8441631832874,1.2,0.15,0.0754359930054103,0.015,True,4.209454049643893,0.0
79,exclude,74.52127707,0.958742756041707,1.4,0.2,0.0545172924129923,0.025,True,4.311084682865129,1.0
80,include,74.1865874875,0.835561766233084,1.2,0.35,0.0951435442378338,0.005,True,4.306583372209994,0.0
81,exclude,61.1515464388,0.73849166020729,1.3,0.25,0.0594651533087019,0.01,True,4.113355151082423,1.0
82,exclude,113.439521419,0.966535374448689,1.4,0.25,0.104052374360553,0.01,True,4.731269843972027,1.0
83,include,67.5587398085,0.899338000528099,1.3,0.1,0.0792205807857906,0.015,False,4.2129974388423035,0.0
84,exclude,63.5513472755,0.92264985972879,1.2,0.3,0.0819613371903662,0.015,True,4.151848197654643,1.0
85,exclude,120.10148117,0.877862199777685,1.3,0.3,0.112000040308056,0.025,True,4.788337061815884,1.0
86,include,196.441648195,0.776541521221879,1.3,0.1,0.132751390482353,0.025,True,5.28036543145859,0.0
87,exclude,156.317514637,0.897829395889862,1.2,0.05,0.083421424528535,0.015,True,5.051889288967721,1.0
88,exclude,98.4083242183,0.837789115487901,1.2,0.2,0.07835064832601,0.005,True,4.589125396194623,1.0
89,include,61.9514781522,0.911509558640356,1.3,0.3,0.0908042689184139,0.025,True,4.126351468197276,0.0
90,exclude,121.174915549,0.971919445177731,1.2,0.15,0.0611667686075504,0.025,True,4.797235084797011,1.0
91,exclude,139.580903205,0.931251594371582,1.2,0.15,0.0976896872914599,0.005,True,4.938644384444986,1.0
92,include,135.486937239,0.919387221669363,1.3,0.05,0.102829454874771,0.015,True,4.908875231532356,0.0
93,exclude,63.1825032329,0.87304061579763,1.3,0.25,0.063982569948508,0.025,True,4.14602741524275,1.0
94,include,44.2895431723,0.864689513975004,1.4,0.15,0.0572276723066398,0.005,True,3.790748603415893,0.0
95,include,73.3771232123,0.896320385354245,1.2,0.05,0.0652481899820389,0.02,True,4.295612214183443,0.0
98,exclude,34.8049116587,0.861210831534553,1.4,0.3,0.0680363469504489,0.02,True,3.549758516438986,1.0
99,exclude,88.662867698,0.833276325452964,1.3,0.2,0.0734463406081054,0.01,True,4.4848411736844165,1.0
100,include,31.9845808003,0.909968132665772,1.4,0.25,0.0726651074559027,0.01,False,3.4652539366820894,0.0
