member_id,arm,group_id,group_label,fisheries,n_release_groups,n_cells,n_cells_active,rep_hat,target_prop,penalty_wt,is_priored,signed_dev,abs_dev,contribution
84,exclude,23,JPTP / PS.JP.1/PL.JP.1,12-13,37,74,74,0.989999998654,0.5,1,0,0.489999998654,0.489999998654,0.240099998681
84,exclude,29,JPTP / PS.WEST.3,"25,27",37,74,74,0.13306230678,0.5,1,0,-0.36693769322,0.36693769322,0.134643270706
85,exclude,1,RTTP/PTTP/pooled / LL.WEST.1/LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,"1-2,4-10",62,558,558,0.419588087877,0.5,1,0,-0.0804119121229,0.0804119121229,0.00646607561126
85,exclude,6,RTTP / PHID.2/PL.ALL.2,"14-18,21-22",15,105,105,0.807420434225,0.5,1,0,0.307420434225,0.307420434225,0.0945073233788
85,exclude,7,RTTP / PS.2,19-20,15,30,30,0.66557433583,0.4962,354.5,1,0.16937433583,0.16937433583,10.1697774686
85,exclude,10,RTTP / PS.WEST.3,"25,27",15,30,30,0.578043152819,0.5121,739.2,1,0.0659431528189,0.0659431528189,3.21441075921
85,exclude,13,PTTP/pooled / PHID.2/PL.ALL.2,"14-18,21-22",47,329,329,0.730792569301,0.5,1,0,0.230792569301,0.230792569301,0.0532652100443
85,exclude,14,PTTP/pooled / PS.2,19-20,47,94,94,0.509835074198,0.4962,354.5,1,0.0136350741984,0.0136350741984,0.065906955556
85,exclude,17,PTTP/pooled / PS.WEST.3,"25,27",47,94,94,0.812326748224,0.5121,739.2,1,0.300226748224,0.300226748224,66.6286053779
85,exclude,18,PTTP/pooled / PS.EAST.3,"26,28",47,94,94,0.939996032294,0.5282,231.2,1,0.411796032294,0.411796032294,39.2059647757
85,exclude,19,JPTP / LL.WEST.1,1,37,37,37,0.989999273062,0.5,1,0,0.489999273062,0.489999273062,0.240099287602
85,exclude,20,JPTP / LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,"2,4-10",37,296,296,0.233240983882,0.5,1,0,-0.266759016118,0.266759016118,0.0711603726801
85,exclude,23,JPTP / PS.JP.1/PL.JP.1,12-13,37,74,74,0.989999999099,0.5,1,0,0.489999999099,0.489999999099,0.240099999117
85,exclude,29,JPTP / PS.WEST.3,"25,27",37,74,74,0.166507024187,0.5,1,0,-0.333492975813,0.333492975813,0.111217564917
86,include,1,RTTP/PTTP/pooled / LL.WEST.1/LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,"1-2,4-10",62,558,558,0.467124074037,0.5,1,0,-0.0328759259631,0.0328759259631,0.00108082650793
86,include,6,RTTP / PHID.2/PL.ALL.2,"14-18,21-22",15,105,105,0.989998107285,0.5,1,0,0.489998107285,0.489998107285,0.240098145143
86,include,7,RTTP / PS.2,19-20,15,30,30,0.545527739806,0.4962,354.5,1,0.0493277398057,0.0493277398057,0.862578586633
86,include,10,RTTP / PS.WEST.3,"25,27",15,30,30,0.630796868461,0.5121,739.2,1,0.118696868461,0.118696868461,10.4145493137
86,include,13,PTTP/pooled / PHID.2/PL.ALL.2,"14-18,21-22",47,329,329,0.989999993523,0.5,1,0,0.489999993523,0.489999993523,0.240099993653
86,include,14,PTTP/pooled / PS.2,19-20,47,94,94,0.508664109061,0.4962,354.5,1,0.0124641090606,0.0124641090606,0.055072998202
86,include,17,PTTP/pooled / PS.WEST.3,"25,27",47,94,94,0.939007122631,0.5121,739.2,1,0.426907122631,0.426907122631,134.718971848
86,include,18,PTTP/pooled / PS.EAST.3,"26,28",47,94,94,0.989999996756,0.5282,231.2,1,0.461799996756,0.461799996756,49.3055355953
86,include,19,JPTP / LL.WEST.1,1,37,37,37,0.989999995686,0.5,1,0,0.489999995686,0.489999995686,0.240099995772
86,include,20,JPTP / LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,"2,4-10",37,296,296,0.494696334573,0.5,1,0,-0.00530366542674,0.00530366542674,2.81288669589e-05
86,include,23,JPTP / PS.JP.1/PL.JP.1,12-13,37,74,74,0.989999998099,0.5,1,0,0.489999998099,0.489999998099,0.240099998137
86,include,29,JPTP / PS.WEST.3,"25,27",37,74,74,0.148670006375,0.5,1,0,-0.351329993625,0.351329993625,0.123432764421
87,exclude,1,RTTP/PTTP/pooled / LL.WEST.1/LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,"1-2,4-10",62,558,558,0.297301532941,0.5,1,0,-0.202698467059,0.202698467059,0.0410866685482
87,exclude,6,RTTP / PHID.2/PL.ALL.2,"14-18,21-22",15,105,105,0.841911264706,0.5,1,0,0.341911264706,0.341911264706,0.116903312933
87,exclude,7,RTTP / PS.2,19-20,15,30,30,0.674753686629,0.4962,354.5,1,0.178553686629,0.178553686629,11.3019630386
87,exclude,10,RTTP / PS.WEST.3,"25,27",15,30,30,0.619573456531,0.5121,739.2,1,0.107473456531,0.107473456531,8.53816202035
87,exclude,13,PTTP/pooled / PHID.2/PL.ALL.2,"14-18,21-22",47,329,329,0.757450165097,0.5,1,0,0.257450165097,0.257450165097,0.0662805875086
87,exclude,14,PTTP/pooled / PS.2,19-20,47,94,94,0.498910989104,0.4962,354.5,1,0.00271098910402,0.00271098910402,0.0026053842514
87,exclude,17,PTTP/pooled / PS.WEST.3,"25,27",47,94,94,0.869853180692,0.5121,739.2,1,0.357753180692,0.357753180692,94.608240468
87,exclude,18,PTTP/pooled / PS.EAST.3,"26,28",47,94,94,0.94977589774,0.5282,231.2,1,0.42157589774,0.42157589774,41.0903061227
87,exclude,19,JPTP / LL.WEST.1,1,37,37,37,0.989999993189,0.5,1,0,0.489999993189,0.489999993189,0.240099993325
87,exclude,20,JPTP / LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,"2,4-10",37,296,296,0.260772576279,0.5,1,0,-0.239227423721,0.239227423721,0.05722976026
87,exclude,23,JPTP / PS.JP.1/PL.JP.1,12-13,37,74,74,0.989999998229,0.5,1,0,0.489999998229,0.489999998229,0.240099998265
87,exclude,29,JPTP / PS.WEST.3,"25,27",37,74,74,0.379429348904,0.5,1,0,-0.120570651096,0.120570651096,0.0145372819058
